Id,Constituency,District,WininngCandidates,Party,RunnderCandidate,Party,Margin
50,Chhaprauli,Baghpat,Sahender Singh Ramala,RLD,Satender Singh,BJP,3842
51,Baraut,Baghpat,Krishnapal Malik,BJP,Sahab Singh,RLD,26486
52,Baghpat,Baghpat,Yogesh Dhama,BJP,Ahmed Hameed,BSP,31360
53,Loni,Ghaziabad,Nandkishor Gurjar,BJP,Zakir Ali,BSP,42813
54,Muradnagar,Ghaziabad,A P Tyagi,BJP,Sudhan Kumar,BSP,89612
55,Sahibabad,Ghaziabad,Sunil Sharma,BJP,Amarpal,INC,"1,50,685"
56,Ghaziabad,Ghaziabad,Atul Garg,BJP,Suresh Bansal,BSP,70505
57,Modi Nagar,Ghaziabad,Dr. Manju Sivach,BJP,Wahab,BSP,66582
58,Dholana,Hapur,Aaslam Choudhary,BSP,Ramesh Chand Tomar,BJP,3576
59,Hapur,Hapur,Vijay Pal,BJP,Gajraj Singh,INC,15006
60,Garhmukteshwar,Hapur,Kamal Singh,BJP,Prashant Choudhary,BSP,35294
61,Noida,Gautam Buddha Nagar,Pankaj Singh,BJP,Sunil Choudhary,SP,"1,04,016"
62,Dadri,Gautam Buddha Nagar,Tejpal Singh Gurjar,BJP,Satveer Singh Gurjar,BSP,80177
63,Jewar,Gautam Buddha Nagar,Dhirendra Singh,BJP,Vedram Bhati,BSP,22173
64,Sikandrabad,Bulandshahr,Bimla Singh Solanki,BJP,Mohammad Imran,BSP,28623
65,Bulandshahr,Bulandshahr,Virendra Singh,BJP,Moh Aleem Khan,BSP,23084
66,Syana,Bulandshahr,Devendra,BJP,Dilnawaz Khan,BSP,71630
67,Anupshahr,Bulandshahr,Sanjay,BJP,Gajendra Singh,BSP,60314
68,Debai,Bulandshahr,Anita Singh Rajput,BJP,Harish Kumar,SP,65630
69,Shikarpur,Bulandshahr,Anil Kumar,BJP,Mukul Upadhyay,BSP,50245
70,Khurja (SC),Bulandshahr,Vijendra Singh,BJP,Arjun Singh,BSP,64299
71,Khair (SC),Aligarh,Anoop,BJP,Rakesh Kumar,SP,70721
72,Barauli,Aligarh,Dalveer Singh,BJP,Thakur Jaivir Singh,BSP,38763
73,Atrauli,Aligarh,Sandeep Singh,BJP,Viresh Yadav,SP,50967
74,Chharra,Aligarh,Ravendra Pal Singh,BJP,Thakur Ravesh Singh,SP,56164
75,Koil,Aligarh,Anil Parashar,BJP,Shaz Ishaq Urf Ajju Ishaq,SP,50963
76,Aligarh,Aligarh,Sanjeet Raja,BJP,Zafar Alam,SP,15440
77,Iglas (SC),Aligarh,Rajveer Diler,BJP,Rajendra Kumar,BSP,74800
78,Hathras (SC),Hathras,Hari Shankar Mahor,BJP,Braj Mohan Rahi,BSP,70661
79,Sadabad,Hathras,Ramveer Upadhyay,BSP,Dr. Anil Chaudhary,RLD,26610
80,Sikandra Rao,Hathras,Birendra Singh Rana,BJP,Bani Singh Baghel,BSP,14772
81,Chhata,Mathura,Laxmi Narayan,BJP,Atul Singh,IND-SP,63838
82,Mant,Mathura,Shyam Sunder Sharma,BSP,Yogesh Chaudhary,RLD,432
83,Goverdhan,Mathura,Karinda Singh,BJP,Rajkumar Rawat,BSP,33009
84,Mathura,Mathura,Shrikant Sharma[66],BJP,Pradeep Mathur,INC,"1,01,161"
85,Baldev (SC),Mathura,Pooran Prakash,BJP,Niranjan Singh Dhangar,RLD,13208
86,Etmadpur,Agra,Ram Pratap Singh,BJP,Dharmpal Singh,BSP,47255
87,Agra Cantt. (SC),Agra,Dr. Girraj Singh Dharmesh,BJP,Gutiyari Lal Duwesh,BSP,46325
88,Agra South,Agra,Yogendra Upadhyaya,BJP,Zulfiqar Ahmad Bhutto,BSP,54225
89,Agra North,Agra,Jagan Prasad Garg,BJP,Er Gyanendra Gautam,BSP,86320
90,Agra Rural (SC),Agra,Hemlata Divakar,BJP,Kali Charan Suman,BSP,65296
91,Fatehpur Sikri,Agra,Chau. Udaybhan Singh,BJP,Surajpal Singh,BSP,52337
92,Kheragarh,Agra,Mahesh Kumar Goyal,BJP,Bhagvan Singh Kushwaha,BSP,31999
93,Fatehabad,Agra,Jitendra Verma,BJP,Rajendra Singh,SP,34364
94,Bah,Agra,Rani Pashalika Singh,BJP,Madhusudan Sharma,BSP,23140
95,Tundla (SC),Firozabad,Satyapal Singh Baghel,BJP,Rakesh Babu,BSP,56070
96,Jasrana,Firozabad,Ramgopal,BJP,Shivpratap Singh,SP,20328
97,Firozabad,Firozabad,Manish Asiza,BJP,Azim Bhai,SP,41727
98,Shikohabad,Firozabad,Mukesh Verma,BJP,Sanjay Kumar,SP,10777
99,Sirsaganj,Firozabad,Hariom Yadav,SP,Jaiveer Singh,BJP,10676
100,Kasganj,Kasganj,Devendra Singh Rajput,BJP,Hasrat Ullah Sherwani,SP,52030
101,Amanpur,Kasganj,Devendra Pratap,BJP,Virendra Singh,SP,41804
102,Patiyali,Kasganj,Mamtesh,BJP,Kiran Yadav,SP,3771
103,Aliganj,Etah,Satyapal Singh Rathaur,BJP,Rameshwar Singh Yadav,SP,13851
104,Etah,Etah,Vipin Kumar David,BJP,Jugendra Singh Yadav,SP,21129
105,Marhara,Etah,Virendra,BJP,Amit Gaurav,SP,33432
106,Jalesar (SC),Etah,Sanjeev Kumar Diwakar,BJP,Ranjeet Suman,SP,19808
107,Mainpuri,Mainpuri,Rajkumar alias Raju Yadav,SP,Ashok Kumar,BJP,8831
108,Bhongaon,Mainpuri,Ram Naresh Agnihorti,BJP,Alok Kumar,SP,20297
109,Kishani (SC),Mainpuri,Brajesh Kumar,SP,Sunil Kumar,BJP,16529
110,Karhal,Mainpuri,Sobaran Singh Yadav,SP,Rama Shakya,BJP,38405
111,Gunnaur,Sambhal,Ajeet Kumar (alias Raju Yadav),BJP,Ram Khiladi Singh,SP,11386
112,Bisauli (SC),Badaun,Kushagra Sagar,BJP,Ashutosh Maurya alisa Raju,SP,10688
113,Sahaswan,Badaun,Omkar Singh,SP,Arshad Ali,BSP,4269
114,Bilsi,Badaun,Pt. Radha Krishan Sharma,BJP,Musarrat Ali Bittan,BSP,26979
115,Badaun,Badaun,Mahesh Chandra Gupta,BJP,Abid Raza Khan,SP,16467
116,Shekhupur,Badaun,Dharmendra Kumar Singh Shakya,BJP,Ashish Yadav,SP,23386
117,Dataganj,Badaun,Rajeev Kumar Singh (Babbu Bhaiya),BJP,Sinod Kumar Shakya (Deepu),BSP,25759
118,Baheri,Bareilly,Chhatra Pal Singh,BJP,Naseem Ahmad,BSP,42837
119,Meerganj,Bareilly,Dr. D.C. Verma,BJP,Sultan Beg,BSP,54500
120,Bhojipura,Bareilly,Bahoran Lal Maurya,BJP,Shazil Islam Ansari,SP,27764
121,Nawabganj,Bareilly,Kesar Singh,BJP,Bhagwat Saran Gangwar,SP,39142
122,Faridpur (SC),Bareilly,Dr. Shyam Bihari Lal,BJP,Dr. Siyaram Sagar,SP,24721
123,Bithari Chainpur,Bareilly,Rajesh Kumar Mishra,BJP,Veer Pal Singh Yadav,SP,19511
124,Bareilly,Bareilly,Arun Kumar,BJP,Prem Prakash Agarwal,INC,28667
125,Bareilly Cantt,Bareilly,Rajesh Agarwal,BJP,Mujahid Hassan Khan,INC,12664
126,Aonla,Bareilly,Dharam Pal Singh,BJP,Sidhraj Singh,SP,3546
127,Pilibhit,Pilibhit,Sanjay Singh Gangwar,BJP,Riaz Ahmad,SP,43356
128,Barkhera,Pilibhit,Kishan Lal Rajpoot,BJP,Hemraj Verma,SP,57930
129,Puranpur (SC),Pilibhit,Babu Ram Paswan,BJP,Peetam Ram,SP,39242
130,Bisalpur,Pilibhit,Agyash Ram Saran Verma,BJP,Anis Ahmad Khan alias Phoolbabu,INC,40996
131,Katra,Shahjahanpur,Veer Vikram Singh Prince,BJP,Rajesh Yadav,SP,16730
132,Jalalabad,Shahjahanpur,Sharadvir Sungh,SP,Manoj Kashyap,BJP,9297
133,Tilhar,Shahjahanpur,Roshan Lal Verma,BJP,Jitin Prasada,INC,5705
134,Powayan (SC),Shahjahanpur,Chetram,BJP,Shakuntla Devi,SP,72417
135,Shahjahanpur,Shahjahanpur,Suresh Kumar Khanna,BJP,Tanveer Khan,SP,19203
136,Dadraul,Shahjahanpur,Manvendra Singh,BJP,Rammurti Singh Verma,SP,17398
137,Palia,Lakhimpur,Harvinder Kr Sahani,BJP,Saif Ali Naqvi,INC,69228
138,Nighasan,Lakhimpur,Patel Ramkumar Verma,BJP,Krishna Gopal Patel,SP,46123
139,Gola Gokrannath,Lakhimpur,Arvind Giri,BJP,Vinay Tiwari,SP,55017
140,Sri Nagar (SC),Lakhimpur,Manju Tyagi,BJP,Meera Bano,SP,54939
141,Dhaurahra,Lakhimpur,Bala Prasad Awasthi,BJP,Yeshpal Singh Chaudhari,SP,3353
142,Lakhimpur,Lakhimpur,Yogesh Verma,BJP,Utkarsh Verma,SP,37748
143,Kasta (SC),Lakhimpur,Saurabh Singh,BJP,Sunil Kumar Lala,SP,24273
144,Mohammdi,Lakhimpur,Lokendra Pratap Singh,BJP,Sanjay Sharma,INC,33918
145,Maholi,Sitapur,Shashank Trivedi,BJP,Anoop Kumar Gupta,SP,3717
146,Sitapur,Sitapur,Rakesh Rathore,BJP,Radhey Shyam Jaiswal,SP,24839
147,Hargaon (SC),Sitapur,Suresh Rahi,BJP,Ramhet Bharti,BSP,44995
148,Laharpur,Sitapur,Suneel Verma,BJP,Md. Jasmeer Ansari,BSP,9118
149,Biswan,Sitapur,Mahendra Singh,BJP,Afzaal Kausar,SP,10235
150,Sevata,Sitapur,Gyan Tiwari,BJP,Er. Mohammad Nasim,BSP,43659
151,Mahmoodabad,Sitapur,Narendra Singh Verma,SP,Asha Maurya,BJP,1906
152,Sidhauli (SC),Sitapur,Hargovind Bhargava,BSP,Manish Rawat,SP,2510
153,Misrikh (SC),Sitapur,Ram Krishna Bhargava,BJP,Manish Kumar Rawar,BSP,20672
154,Sawaijpur,Hardoi,Kunvar Madhavendra Pratap,BJP,Padamrag Singh Yadav,SP,26970
155,Shahabad,Hardoi,Rajani Tiwari,BJP,Asif Khan,BSP,4260
156,Hardoi,Hardoi,Nitin Agarwal,SP,Raja Bux Singh,BJP,5109
157,Gopamau (SC),Hardoi,Shyam Prakash,BJP,Rajeshwari,SP,31378
158,Sandi (SC),Hardoi,Prabhash Kumar,BJP,Omendra Kumar Verma,INC,20225
159,Bilgram-Mallanwan,Hardoi,Ashish Kumar Singh,BJP,Subhash Pal,SP,8025
160,Balamau (SC),Hardoi,Ram Pal Verma,BJP,Neelu Satyarthi,BSP,22888
161,Sandila,Hardoi,Raj Kumar Agrawal,BJP,Abdul Mannan,SP,20403
162,Bangermau,Unnao,Kuldeep Singh Sengar,BJP,Badaloo Khan,SP,28237
163,Safipur (SC),Unnao,Bamba Lal,BJP,Ram Baran,BSP,27236
164,Mohan (SC),Unnao,Brijesh Kumar,BJP,Radhe Lal Rawat,BSP,54095
165,Unnao,Unnao,Pankaj Gupta,BJP,Manisha deepak,SP,46072
166,Bhagwantnagar,Unnao,Hriday Narayan Dikshit,BJP,Shashank Singh,BSP,53366
167,Purwa,Unnao,Anil Singh,BSP,Uttam Chandra,BJP,26483
168,Malihabad (SC),Lucknow,Jai Devi,BJP,Rajbala,SP,22668
169,Bakshi Kaa Talab,Lucknow,Avinash Trivedi,BJP,Nakul Dubey,BSP,17584
170,Sarojini Nagar,Lucknow,Swati Singh,BJP,Anurag Yadav,SP,34179
171,Lucknow West,Lucknow,Suresh Kumar Srivastav,BJP,Mod. Rehan,SP,13072
172,Lucknow North,Lucknow,Dr Neerak Bora,BJP,Abhishek Mishra,SP,27276
173,Lucknow East,Lucknow,Ashtosh Tandon,BJP,Anurag Singh,SP,79230
174,Lucknow Central,Lucknow,Brijesh Pathak,BJP,Ravidas Mehrotra,SP,5094
175,Lucknow Cantt,Lucknow,Dr. Rita Bahuguna Joshi,BJP,Aparna Yadav,SP,33796
176,Mohanlalganj (SC),Lucknow,Ambrish Singh Pushkar,SP,Rambahadur,BSP,530
177,Bachhrawan (SC),Rae Bareli,Ram Naresh Rawat,BJP,Shahab Sharan,INC,22309
178,Tiloi,Amethi,Mayankeshwar Sharan Singh,BJP,Mohd. Saood,BSP,44047
179,Harchandpur,Rae Bareli,Rakesh Singh,INC,Kusuma Lodhi,BJP,3652
180,Rae Bareli,Rae Bareli,Aditi Singh,INC,Mhmd Shabaz Khan,BSP,89163
181,Salon (SC),Raebareli,Dal Bahadur,BJP,Suresh Chaudary,INC,16055
182,Sareni,Rae Bareli,Dhirendra Bahadur Singh,BJP,Thakur Prasad Yadav,BSP,13007
183,Unchahar,Rae Bareli,Manoj Kumar Pandey,SP,Utkrist Maruya,BJP,1934
184,Jagdishpur (SC),Amethi,Suresh Kumar,BJP,Radhey Shyam,INC,16600
185,Gauriganj,Amethi,Rakesh Pratap Singh,SP,Mohammed Nayem,INC,26419
186,Amethi,Amethi,Garima Singh,BJP,Gaytri Prasad,SP,5065
187,Isauli,Sultanpur,Abrar Ahmed,SP,Om Prakash Pandey,BJP,4241
188,Sultanpur,Sultanpur,Surya Bhan Singh [67],BJP,Syed Mujeed Ahmad,BSP,32393
189,Sadar,Sultanpur,Sitaram,BJP,Raj Prasad Upadhyay,BSP,18773
190,Lambhua,Sultanpur,Devmani Dwivedi,BJP,Vinod Singh,BSP,12903
191,Kadipur (SC),Sultanpur,Rajesh Gautam,BJP,Bhageluram,BSP,26604
192,Kaimganj (SC),Farrukhabad,Amar Singh,BJP,Dr. Surabhi,SP,36622
193,Amritpur,Farrukhabad,Suhil Kumar Shakya,BJP,Narendra Singh Yadav,SP,40507
194,Farrukhabad,Farrukhabad,Mejor Sunil Dutt Dwivedi,BJP,Mohd Umar Khan,BSP,45427
195,Bhojpur,Farrukhabad,Nagendra Singh,BJP,Arshad Jamal Siddiqui,SP,34877
196,Chhibramau,Kannauj,Archana Pandey,BJP,Tahir Hussain Siddiqui,BSP,37224
197,Tirwa,Kannauj,Kailash Singh Rajput,BJP,Vijay Bahadur Pal,SP,24209
198,Kannauj (SC),Kannauj,Anil Kumar Dohare,SP,Banwari Lal Dohare,BJP,2454
199,Jaswantnagar,Etawah,Shivpal Singh Yadav,SP,Manish Yadav Patre,BJP,52616
200,Etawah,Etawah,Sarita Bhadauriya,BJP,Kuldeep Gupta,SP,17342
201,Bharthana (SC),Etawah,Savitri Katheria,BJP,Kamlesh Kumar Katheria,SP,1968
202,Bidhuna,Auraiya,Vinay Shakya,BJP,Dinesh Kumar Verma,SP,3910
203,Dibiyapur,Auraiya,Lakhan Singh,BJP,Pradeep Kumar Yadav,SP,12094
204,Auraiya (SC),Auraiya,Ramesh Chandra,BJP,Bhimrao Ambedkar,BSP,31862
205,Rasulabad (SC),Kanpur Dehat,Nirmala Sankhwar,BJP,Arun Kumar Kori,SP,33394
206,Akbarpur - Raniya,Kanpur Dehat,Pratibha Shukla,BJP,Neeraj Singh,SP,28729
207,Sikandra,Kanpur Dehat,Mathura Prasad Pal,BJP,Mahendra Katiyar,BSP,38103
208,Bhognipur,Kanpur Dehat,Vinod Kumar Katiyar,BJP,Dharmpal Singh Bhadauria,BSP,19005
209,Bilhaur (SC),Kanpur,Bhagwati Prasad Sagar,BJP,Kamlesh Chandra Diwakar,BSP,31166
210,Bithoor,Kanpur,Abhijeet Singh Sanga,BJP,Munindra Shukla,SP,58987
211,Kalyanpur,Kanpur,Nilima Katiyar,BJP,Satish Kumar Nigam,SP,23342
212,Govindnagar,Kanpur,Satya Dev Pachauri,BJP,Ambuj Shikla,INC,71509
213,Sishamau,Kanpur,Hazi Irfan Solanki,SP,Suresh Awasthi,BJP,5826
214,Arya Nagar,Kanpur,Amitabh Bajpai,SP,Salil Vishnoi,BJP,5723
215,Kidwai Nagar,Kanpur,Mahesh Chandra,BJP,Ajay Kapoor,INC,33983
216,Kanpur Cantt,Kanpur,Sohil Akhtar Ansari,INC,Raghunandan Singh Bhadauria,BJP,9364
217,Maharajpur,Kanpur,Satish Mahana,BJP,Manoj Kumar Shukla,BSP,91826
218,Ghatampur (SC),Kanpur,Kamal Rani,BJP,Saroj Kureel,BSP,45178
219,Madhaugarh,Jalaun,Moolchandra Singh,BJP,Girish Kumar,BSP,45985
220,Kalpi,Jalaun,Ku Narandea Pal Singh,BJP,Chhote Singh,BSP,51484
221,Orai (SC),Jalaun,Gauri Shankar,BJP,Mahendra Singh,SP,78879
222,Babina,Jhansi,"Rajeev Singh ""Parichha""",BJP,Yashpal Singh Yadav,SP,16837
223,Jhansi Nagar,Jhansi,Ravi Sharma,BJP,Sita Ram Kushwaha,BSP,55778
224,Mauranipur (SC),Jhansi,Bihari Lal Arya,BJP,Dr. Rashmi Arya,SP,16971
225,Garautha,Jhansi,Jawahar Lal Rajpoot,BJP,Deep Narayan Singh (Deepak Yadav),SP,15831
226,Lalitpur,Lalitpur,Ramratan Kushwaha,BJP,Jyoti Singh,SP,68255
227,Mehroni (SC),Lalitpur,Manohar Lal,BJP,Feran Lal,BSP,99564
228,Hamirpur,Hamirpur,Ashok Kumar Singh Chandel,BJP,Dr. Manoj Kumar Prajapati,SP,48655
229,Rath (SC),Hamirpur,Manisha Anuragi,BJP,Gayadeen Anuragi,INC,"1,04,643"
230,Mahoba,Mahoba,Rakesh Kumar Goswami,BJP,Siddh Gopal Sahu,SP,31387
231,Charkhari,Mahoba,Brijbhusan Rajpoot alias Guddu Bhaiya,BJP,Urmila Devi,SP,44014
232,Tindwari,Banda,Brajesh Kumar Prajapati,BJP,Jagdish Prasad Prajapati,BSP,37407
233,Baberu,Banda,Chandrapal Kushwaha,BJP,Kiran Yadav,BSP,22301
234,Naraini (SC),Banda,Raj Karan Kabir,BJP,Bharat Lal Diwakar,INC,45007
235,Banda,Banda,Prakash Dwivedi,BJP,Madhusudan Kushwaha,BSP,32828
236,Chitrakoot,Chitrakoot,Chandrika Prasad Upadhyay,BJP,Veer Singh,SP,26936
237,Manikpur,Chitrakoot,R. K. Singh Patel,BJP,Sampat Patel,INC,44464
238,Jahanabad,Fatehpur,Jai Kumar Singh Jaiki,AD(S),Madangopal Verma,SP,47606
239,Bindki,Fatehpur,Karan Singh Patel,BJP,Rameshwar Dayal,SP,56378
240,Fatehpur,Fatehpur,Vikram Singh,BJP,Chandra Prakash Lodhi,SP,31498
241,Ayah Shah,Fatehpur,Vikas Gupta,BJP,Ayodhya Prasad,SP,51965
242,Husainganj,Fatehpur,Ranvendra Pratap Singh,BJP,Usha Maurya,INC,18593
243,Khaga (SC),Fatehpur,Krishna Paswan,BJP,Om Prakash Gihar,INC,56434
244,Rampur Khas,Pratapgarh,Aradhana Mishra,INC,Nagesh Pratap Singh,BJP,17066
245,Babaganj (SC),Pratapgarh,Vinod Kumar,Ind.,Pawan Kumar,BJP,37160
246,Kunda,Pratapgarh,Raghuraj Pratap Singh,Ind.,Janaki Sharan,BJP,103647
247,Bishwavnathganj,Pratapgarh,Rakesh Kumar Verma,AD(S),Sanjay Pandey,INC,23358
248,Pratapgarh,Pratapgarh,Sangam Lal Gupta,AD(S),Nagrenda Singh,SP,34554
249,Patti,Pratapgarh,Rajednra Pratap Singh,BJP,Ram Singh,SP,1476
250,Raniganj,Pratapgarh,Dhiraj Ojha,BJP,Shakeel Ahmad Khan,BSP,9009
251,Sirathu,Kaushambi,Sheetla Prasad,BJP,Vachaspati,SP,26203
252,Manjhanpur (SC),Kaushambi,Lal Bahadur,BJP,Indrajeet Saroj,BSP,4160
253,Chail,Kaushambi,Sanjay Kumar,BJP,Talat Azim,INC,40116
254,Phaphamau,Allahabad,Vikramjeet,BJP,Ansar Ahmad,SP,25985
255,Soraon (SC),Allahabad,Jamuna Prasad,AD(S),Geeta Devi,BSP,17735
256,Phulpur,Allahabad,Praveen Kumar Singh,BJP,Mansoor Alam,SP,26613
257,Pratappur,Allahabad,Mohd Mujtaba Siddqui,BSP,Karan Singh,AD(S),2654
258,Handia,Allahabad,Hakim Lal,BSP,Pramila Devi,AD(S),8526
259,Meja,Allahabad,Neelam Karwariya,BJP,Ram Sewak Singh,SP,19843
260,Karachhana,Allahabad,Ujjawal Raman Singh,SP,Piyush Ranjan,BJP,15024
261,Allahabad West,Allahabad,Sidharth Nath Singh,BJP,Richa Singh,SP,25336
262,Allahabad North,Allahabad,Harshvardhan Bajpai,BJP,Anugrah Narayan Singh,INC,35025
263,Allahabad South,Allahabad,Nand Gopal Gupta Nandi,BJP,Parvez Ahmad,SP,28587
264,Bara (SC),Allahabad,Dr. Ajai Kumar,BJP,Ajay,SP,34053
265,Koraon (SC),Allahabad,Rajmani,BJP,Ram Kripal,INC,53696
266,Kursi,Barabanki,Sakendra Pratap Verma,BJP,Fareed Kidwai,SP,28679
267,Ram Nagar,Barabanki,Sharad Kumar Awasthi,BJP,Arvinda Kumar Singh,SP,22727
268,Barabanki,Barabanki,Dharamraj Singh Yadav,SP,Suredra Singh,BSP,29704
269,Zaidpur (SC),Barabanki,Upendra Singh,BJP,Tanuj Punia,INC,29181
270,Dariyabad,Barabanki,Satish chandra Sharma,BJP,Rajiv Kumar Singh,SP,50686
271,Rudauli,Faizabad,Ram Chandra Yadav,BJP,Abbas Ali Zaidi,SP,31259
272,Haidergarh (SC),Barabanki,Baidnath Rawat,BJP,Ram Magan,SP,33520
273,Milkipur (SC),Faizabad,Gorakh Nath,BJP,Awadesh Prasad,SP,28276
274,Bikapur,Faizabad,Shobha Singh Chauhan,BJP,Anand Sen,SP,26652
275,Ayodhya,Faizabad,Ved Prakash Gupta,BJP,Tej Narayan Pandey,SP,50440
276,Goshainganj,Faizabad,Indra Pratap Tiwari,BJP,Abhay Singh,SP,11620
277,Katehari,Ambedkar Nagar,Lal Ji verma,BSP,Awadesh Kumar Diwedi,BJP,6287
278,Tanda,Ambedkar Nagar,Sanju Devi,BJP,Azeemul Haq Pahalwan,BSP,1723
279,Alapur (SC),Ambedkar Nagar,Anita,BJP,Sangeeta,SP,12513
280,Jalalpur,Ambedkar Nagar,Ritesh Pandey,BSP,Rajesh Singh,BJP,13030
281,Akbarpur,Ambedkar Nagar,Ram Achal Rajbhar,BSP,Ram Murti Verma,SP,14013
282,Balha (SC),Bahraich,Akshayvaralal,BJP,Kiran Bharti,BSP,46616
283,Nanpara,Bahraich,Madhuri Verma,BJP,Waris Ali,INC,18669
284,Matera,Bahraich,Yasar Shah,SP,Arun Veer Singh,BJP,1595
285,Mahasi,Bahraich,Sureshwar Singh,BJP,Ali Akbar,INC,58969
286,Bahraich,Bahraich,Anupma Jaiswal,BJP,Rubab Sayeda,SP,6702
287,Payagpur,Bahraich,Subhash Tripathi,BJP,Mukesh Srivastava,SP,41541
288,Kaiserganj,Bahraich,Mukut Bihari,BJP,Khalid Khan,BSP,27363
289,Bhinga,Shrawasti,Mohammad Aslam,BSP,Alekshendra Kant Singh,BJP,6090
290,Shrawasti,Shrawasti,Ram Feran,BJP,Mohd Ramzan,SP,445
291,Tulsipur,Balrampur,Kailash Nath Shukla,BJP,Zeba Rizwan,INC,18659
292,Gainsari,Balrampur,Shailesh Kumar Singh,BJP,Alauddin,BSP,2303
